snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical
2026-06-26,NDT567,NDT-Day,2026-06-29,3,120,108,11,0,18,1,1,0,0,5,98,41,57,12,49,,,,,120,14,14,15,"near-<14: WBH(18)×0.76 floor, VIP(1)×0.34 + Priority(6)×0.22 upside",0.5999999999999996,above
2026-06-26,NDT568,NDT-Day,2026-08-03,38,66,56,9,0,0,5,3,0,1,0,60,40,20,9,14,,,,,66,8,10,13,"far-30+: accum_fill@38d=0.66, raw_proj=17.5, capped@2.5x_pos_avg, blended_with_pos_avg=10.5 (prior_weight=0.67)",0.5716666666666681,above
2026-06-26,NDT568NC,NDT-Night,2026-08-03,38,10,2,8,0,0,6,2,0,2,0,4,2,2,8,2,,,,,10,7,10,14,"far-30+: accum_fill@38d=0.66, raw_proj=15.2, blended_with_pos_avg=10.4 (prior_weight=0.67)",0.6533333333333342,above
2026-06-26,NDT569,NDT-Day,2026-09-08,74,8,4,4,0,0,0,0,0,0,0,8,2,6,4,1,,,,,8,12,16,21,"far-30+: accum_fill@74d=0.26, raw_proj=27.5, capped@2.5x_pos_avg, blended_with_pos_avg=16.5 (prior_weight=0.67)",0.7700000000000005,above
2026-06-26,NDT570,NDT-Day,2026-10-13,109,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,,,,,1,6,8,10,"far-30+: accum_fill@109d=0.10, raw_proj=10.0, blended_with_pos_avg=8.0 (prior_weight=0.67)",0.0,unknown
2026-06-26,NDT570NC,NDT-Night,2026-10-13,109,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,5,7,10,"far-30+: accum_fill@109d=0.10, raw_proj=10.0, blended_with_pos_avg=7.3 (prior_weight=0.67)",0.0,unknown
2026-06-26,NDT571,NDT-Day,2026-11-16,143,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,6,9,11,"far-30+: accum_fill@143d=0.10, raw_proj=10.0, blended_with_pos_avg=8.7 (prior_weight=0.67)",0.0,unknown
2026-06-26,NDT572,NDT-Day,2027-01-04,192,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,4,6,8,"far-30+: accum_fill@192d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown
2026-06-26,NDT572NC,NDT-Night,2027-01-04,192,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,2,3,4,"far-30+: accum_fill@192d=0.10, raw_proj=5.0, capped@2.5x_pos_avg, blended_with_pos_avg=3.0 (prior_weight=0.67)",0.0,unknown
2026-06-26,NDT573,NDT-Day,2027-02-08,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,7,"far-30+: accum_fill@227d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)",0.0,unknown
