snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical
2026-07-07,NDT568,NDT-Day,2026-08-03,27,63,52,9,0,0,5,0,0,1,3,55,43,12,9,1,,,,,66,4,6,7,"medium-14-30: blend(accum=10, tier_mid=1.1); WBH=0,VIP=5,Priority=4",0.5235416666666657,above
2026-07-07,NDT568NC,NDT-Night,2026-08-03,27,10,2,8,0,0,8,1,0,2,0,2,2,0,8,0,,,,,10,4,6,8,"medium-14-30: blend(accum=10, tier_mid=1.7); WBH=0,VIP=8,Priority=3",0.5983333333333327,below
2026-07-07,NDT569,NDT-Day,2026-09-08,63,12,8,4,0,0,0,0,0,0,0,12,7,5,4,0,,,,,12,12,16,21,"far-30+: accum_fill@63d=0.37, raw_proj=27.5, capped@2.5x_pos_avg, blended_with_pos_avg=16.5 (prior_weight=0.67)",0.7700000000000005,below
2026-07-07,NDT570,NDT-Day,2026-10-13,98,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,,,,,1,6,8,10,"far-30+: accum_fill@98d=0.10, raw_proj=10.0, blended_with_pos_avg=8.0 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT570NC,NDT-Night,2026-10-13,98,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,5,7,10,"far-30+: accum_fill@98d=0.10, raw_proj=10.0, blended_with_pos_avg=7.3 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT571,NDT-Day,2026-11-16,132,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,6,9,11,"far-30+: accum_fill@132d=0.10, raw_proj=10.0, blended_with_pos_avg=8.7 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT572,NDT-Day,2027-01-04,181,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,4,6,8,"far-30+: accum_fill@181d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT572NC,NDT-Night,2027-01-04,181,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,2,3,4,"far-30+: accum_fill@181d=0.10, raw_proj=5.0, capped@2.5x_pos_avg, blended_with_pos_avg=3.0 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT573,NDT-Day,2027-02-08,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,7,"far-30+: accum_fill@216d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT574,NDT-Day,2027-03-15,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,3,4,"far-30+: accum_fill@251d=0.10, raw_proj=0.0, blended_with_pos_avg=3.3 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT574NC,NDT-Night,2027-03-15,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,3,"far-30+: accum_fill@251d=0.10, raw_proj=0.0, blended_with_pos_avg=2.0 (prior_weight=0.67)",0.0,unknown
2026-07-07,NDT575,NDT-Day,2027-04-19,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,4,5,"far-30+: accum_fill@286d=0.10, raw_proj=0.0, blended_with_pos_avg=4.0 (prior_weight=0.67)",0.0,unknown
2026-07-07,UDT568,UDT,2026-08-03,27,87,51,36,0,8,22,3,2,4,0,55,43,12,36,1,,,,,89,9,15,18,"medium-14-30: blend(accum=21, tier_mid=8.6); WBH=8,VIP=22,Priority=9",1.0470833333333314,on-track
2026-07-07,UDT569,UDT,2026-09-08,63,30,19,11,0,0,0,2,0,0,0,28,17,11,11,0,,,,,30,25,34,44,"far-30+: accum_fill@63d=0.37, raw_proj=57.5, capped@2.5x_pos_avg, blended_with_pos_avg=34.5 (prior_weight=0.67)",1.6100000000000003,below
2026-07-07,UDT570,UDT,2026-10-13,98,6,1,5,0,0,0,3,0,0,0,3,2,1,5,0,,,,,6,22,30,38,"far-30+: accum_fill@98d=0.10, raw_proj=50.0, capped@2.5x_pos_avg, blended_with_pos_avg=30.0 (prior_weight=0.67)",0.0,unknown
