snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical
2026-05-15,NDT566,NDT-Day,2026-05-18,3,63,52,11,0,4,2,0,1,0,2,56,30,26,11,13,,,,,63,4,5,6,"near-<14: WBH(4)×0.90 floor, VIP(2)×0.50 + Priority(3)×0.30 upside [tier rates are placeholders, data-starved]",0.2499999999999991,above
2026-05-15,NDT566NC,NDT-Night,2026-05-18,3,11,2,8,1,7,1,1,0,1,0,3,2,1,9,2,,,,,11,6,7,7,"near-<14: WBH(7)×0.90 floor, VIP(1)×0.50 + Priority(2)×0.30 upside [tier rates are placeholders, data-starved]",0.09999999999999987,above
2026-05-15,NDT567,NDT-Day,2026-06-29,45,44,33,11,0,3,2,6,0,0,0,38,29,9,11,4,,,,,44,14,18,22,"far-30+: accum_fill@45d=0.57, raw_proj=30.0, capped@2.5x_pos_avg, blended_with_pos_avg=18.0 (prior_weight=0.67)",0.9799999999999995,above
2026-05-15,NDT568,NDT-Day,2026-08-03,80,19,15,4,0,0,0,0,0,0,0,19,17,2,4,0,,,,,19,8,10,13,"far-30+: accum_fill@80d=0.20, raw_proj=17.5, capped@2.5x_pos_avg, blended_with_pos_avg=10.5 (prior_weight=0.67)",0.4900000000000002,below
2026-05-15,NDT568NC,NDT-Night,2026-08-03,80,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,,,,,1,4,7,10,"far-30+: accum_fill@80d=0.20, raw_proj=5.0, blended_with_pos_avg=7.0 (prior_weight=0.67)",0.5600000000000003,above
2026-05-15,NDT569,NDT-Day,2026-09-08,116,2,1,1,0,0,0,0,0,0,0,2,2,0,1,0,,,,,2,11,14,17,"far-30+: accum_fill@116d=0.10, raw_proj=20.0, blended_with_pos_avg=14.0 (prior_weight=0.67)",0.0,unknown
2026-05-15,NDT570,NDT-Day,2026-10-13,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,6,"far-30+: accum_fill@151d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)",0.0,unknown
2026-05-15,NDT570NC,NDT-Night,2026-10-13,151,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,5,7,10,"far-30+: accum_fill@151d=0.10, raw_proj=10.0, blended_with_pos_avg=7.3 (prior_weight=0.67)",0.0,unknown
2026-05-15,NDT571,NDT-Day,2026-11-16,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,7,"far-30+: accum_fill@185d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)",0.0,unknown
2026-05-15,NDT572,NDT-Day,2027-01-04,234,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,5,6,7,"far-30+: accum_fill@234d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown
