snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical,vip_priority_count
2026-08-26,NDT569,NDT-Day,2026-09-08,13,255,238,16,0,12,15,1,0,2,0,228,85,143,17,52,,,,,255,10,14,15,"near-<14: WBH(12)×0.86 floor, VIP(15)×0.22 + Priority(3)×0.40 upside",0.6973214285714278,above,15
2026-08-26,NDT570,NDT-Day,2026-10-13,48,69,62,7,0,0,2,0,0,0,0,67,2,65,7,29,,,,,69,7,10,14,"far-30+: accum_fill@48d=0.54, raw_proj=17.5, capped@2.5x_pos_avg, blended_with_pos_avg=10.5 (prior_weight=0.67)",0.5716666666666672,above,2
2026-08-26,NDT570NC,NDT-Night,2026-10-13,48,5,1,4,0,0,3,1,0,0,0,2,1,1,4,1,,,,,5,5,7,9,"far-30+: accum_fill@48d=0.54, raw_proj=9.3, blended_with_pos_avg=7.1 (prior_weight=0.67)",0.4900000000000002,above,3
2026-08-26,NDT571,NDT-Day,2026-11-16,82,4,0,4,0,0,1,1,0,0,0,3,2,1,4,2,,,,,4,8,12,16,"far-30+: accum_fill@82d=0.18, raw_proj=20.0, capped@2.5x_pos_avg, blended_with_pos_avg=12.0 (prior_weight=0.67)",0.5599999999999998,above,1
2026-08-26,NDT572,NDT-Day,2027-01-04,131,2,0,2,0,0,0,0,0,0,0,2,1,1,2,1,,,,,2,4,6,8,"far-30+: accum_fill@131d=0.10, raw_proj=10.0, capped@2.5x_pos_avg, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,NDT572NC,NDT-Night,2027-01-04,131,3,0,3,0,0,0,0,0,0,0,3,3,0,3,0,,,,,3,2,3,4,"far-30+: accum_fill@131d=0.10, raw_proj=5.0, capped@2.5x_pos_avg, blended_with_pos_avg=3.0 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,NDT573,NDT-Day,2027-02-08,166,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,,,,,1,6,9,11,"far-30+: accum_fill@166d=0.10, raw_proj=10.0, blended_with_pos_avg=8.7 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,NDT574,NDT-Day,2027-03-15,201,2,0,2,0,0,0,0,0,0,0,2,0,2,2,2,,,,,2,5,8,10,"far-30+: accum_fill@201d=0.10, raw_proj=12.5, capped@2.5x_pos_avg, blended_with_pos_avg=7.5 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,NDT574NC,NDT-Night,2027-03-15,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,3,"far-30+: accum_fill@201d=0.10, raw_proj=0.0, blended_with_pos_avg=2.0 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,NDT575,NDT-Day,2027-04-19,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,4,5,"far-30+: accum_fill@236d=0.10, raw_proj=0.0, blended_with_pos_avg=4.0 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,UDT569,UDT,2026-09-08,13,115,97,18,0,17,21,2,2,9,0,77,40,37,18,16,,,,,118,15,19,24,"near-<14: WBH(17)×0.86 floor, VIP(21)×0.22 + Priority(13)×0.40 upside",1.458035714285714,above,21
2026-08-26,UDT570,UDT,2026-10-13,48,83,57,26,0,1,15,7,1,5,1,58,10,48,26,22,,,,,83,22,30,38,"far-30+: accum_fill@48d=0.54, raw_proj=50.0, capped@2.5x_pos_avg, blended_with_pos_avg=30.0 (prior_weight=0.67)",1.6333333333333346,above,24
2026-08-26,UDT571,UDT,2026-11-16,82,5,2,3,0,0,0,1,0,0,0,4,2,2,3,1,,,,,5,15,20,25,"far-30+: accum_fill@82d=0.18, raw_proj=27.8, blended_with_pos_avg=19.9 (prior_weight=0.67)",1.1199999999999997,below,1
2026-08-26,UDT572,UDT,2027-01-04,131,13,2,11,0,0,0,0,0,0,0,13,9,4,11,3,,,,,13,19,26,32,"far-30+: accum_fill@131d=0.10, raw_proj=42.5, capped@2.5x_pos_avg, blended_with_pos_avg=25.5 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,UDT573,UDT,2027-02-08,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,5,6,"far-30+: accum_fill@166d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,UDT574,UDT,2027-03-15,201,4,0,4,0,0,0,0,0,0,0,4,4,0,4,0,,,,,4,15,21,27,"far-30+: accum_fill@201d=0.10, raw_proj=35.0, capped@2.5x_pos_avg, blended_with_pos_avg=21.0 (prior_weight=0.67)",0.0,unknown,0
2026-08-26,UDT575,UDT,2027-04-19,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,5,7,8,"far-30+: accum_fill@236d=0.10, raw_proj=0.0, blended_with_pos_avg=6.7 (prior_weight=0.67)",0.0,unknown,0
