snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical
2026-08-18,NDT569,NDT-Day,2026-09-08,21,235,218,16,0,11,17,6,0,1,0,207,56,151,17,158,,,,,235,11,15,18,"medium-14-30: blend(accum=16, tier_mid=13.2); WBH=11,VIP=17,Priority=7",0.7218749999999989,above
2026-08-18,NDT570,NDT-Day,2026-10-13,56,39,36,3,0,0,0,0,0,0,0,39,1,38,3,37,,,,,39,7,10,14,"far-30+: accum_fill@56d=0.45, raw_proj=17.5, capped@2.5x_pos_avg, blended_with_pos_avg=10.5 (prior_weight=0.67)",0.5366666666666666,above
2026-08-18,NDT570NC,NDT-Night,2026-10-13,56,4,0,3,0,0,0,0,0,0,0,4,2,2,4,2,,,,,4,5,7,9,"far-30+: accum_fill@56d=0.45, raw_proj=9.0, blended_with_pos_avg=7.0 (prior_weight=0.67)",0.45999999999999996,above
2026-08-18,NDT571,NDT-Day,2026-11-16,90,2,0,2,0,0,0,0,0,0,0,2,1,1,2,0,,,,,2,8,12,16,"far-30+: accum_fill@90d=0.10, raw_proj=20.0, blended_with_pos_avg=12.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,NDT572,NDT-Day,2027-01-04,139,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,,,,,1,4,6,8,"far-30+: accum_fill@139d=0.10, raw_proj=10.0, blended_with_pos_avg=6.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,NDT572NC,NDT-Night,2027-01-04,139,3,0,3,0,0,0,0,0,0,0,3,3,0,3,0,,,,,3,2,3,4,"far-30+: accum_fill@139d=0.10, raw_proj=5.0, capped@2.5x_pos_avg, blended_with_pos_avg=3.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,NDT573,NDT-Day,2027-02-08,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,5,7,"far-30+: accum_fill@174d=0.10, raw_proj=0.0, blended_with_pos_avg=5.3 (prior_weight=0.67)",0.0,unknown
2026-08-18,NDT574,NDT-Day,2027-03-15,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,3,4,"far-30+: accum_fill@209d=0.10, raw_proj=0.0, blended_with_pos_avg=3.3 (prior_weight=0.67)",0.0,unknown
2026-08-18,NDT574NC,NDT-Night,2027-03-15,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1,2,3,"far-30+: accum_fill@209d=0.10, raw_proj=0.0, blended_with_pos_avg=2.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,NDT575,NDT-Day,2027-04-19,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,4,5,"far-30+: accum_fill@244d=0.10, raw_proj=0.0, blended_with_pos_avg=4.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,UDT569,UDT,2026-09-08,21,118,96,21,0,12,20,3,0,4,0,86,39,47,22,44,,,,,118,18,24,31,"medium-14-30: blend(accum=34, tier_mid=14.7); WBH=12,VIP=20,Priority=7",1.5093749999999986,above
2026-08-18,UDT570,UDT,2026-10-13,56,60,39,20,0,1,3,6,1,3,0,49,11,38,21,41,,,,,60,22,30,38,"far-30+: accum_fill@56d=0.45, raw_proj=50.0, capped@2.5x_pos_avg, blended_with_pos_avg=30.0 (prior_weight=0.67)",1.5333333333333332,above
2026-08-18,UDT571,UDT,2026-11-16,90,5,1,4,0,0,0,1,0,0,0,4,3,1,4,1,,,,,5,18,24,30,"far-30+: accum_fill@90d=0.10, raw_proj=40.0, capped@2.5x_pos_avg, blended_with_pos_avg=24.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,UDT572,UDT,2027-01-04,139,10,1,8,0,0,0,0,0,0,0,10,5,5,8,1,,,,,10,19,26,32,"far-30+: accum_fill@139d=0.10, raw_proj=42.5, capped@2.5x_pos_avg, blended_with_pos_avg=25.5 (prior_weight=0.67)",0.0,unknown
2026-08-18,UDT573,UDT,2027-02-08,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,3,5,6,"far-30+: accum_fill@174d=0.10, raw_proj=0.0, blended_with_pos_avg=4.7 (prior_weight=0.67)",0.0,unknown
2026-08-18,UDT574,UDT,2027-03-15,209,4,0,4,0,0,0,0,0,0,0,4,2,2,4,0,,,,,4,15,21,27,"far-30+: accum_fill@209d=0.10, raw_proj=35.0, capped@2.5x_pos_avg, blended_with_pos_avg=21.0 (prior_weight=0.67)",0.0,unknown
2026-08-18,UDT575,UDT,2027-04-19,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,5,7,8,"far-30+: accum_fill@244d=0.10, raw_proj=0.0, blended_with_pos_avg=6.7 (prior_weight=0.67)",0.0,unknown
