snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical,vip_priority_count
2026-09-04,NDT569,NDT-Day,2026-09-08,4,144,130,11,0,17,4,2,2,0,0,123,80,43,13,27,,,,,255,15,16,18,"near-<14: WBH(17)×0.88 floor, VIP(4)×0.27 + Priority(4)×0.56 upside",1.4532571428571437,above,4
2026-09-04,NDT570,NDT-Day,2026-10-13,39,97,87,10,0,2,9,5,0,0,0,85,49,36,10,23,,,,,97,6,9,12,"far-30+: accum_fill@39d=0.46, proj_enrolled=210 x ate_mid=0.066 = 14.0 starts, blended_with_pos_avg=9.3 (prior_weight=0.67)",0.7178,above,10
2026-09-04,NDT570NC,NDT-Night,2026-10-13,39,7,1,5,0,1,5,3,0,2,0,1,1,0,6,1,,,,,7,4,5,6,"far-30+: accum_fill@39d=0.61, proj_enrolled=11 x ate_mid=0.275 = 3.1 starts, blended_with_pos_avg=5.0 (prior_weight=0.67)",0.5373000000000001,above,5
2026-09-04,NDT571,NDT-Day,2026-11-16,73,45,36,9,0,0,2,2,0,0,0,43,3,40,9,40,,,,,45,7,11,14,"far-30+: accum_fill@73d=0.18, proj_enrolled=245 x ate_mid=0.066 = 16.3 starts, blended_with_pos_avg=10.8 (prior_weight=0.67)",0.5258285714285714,above,2
2026-09-04,NDT572,NDT-Day,2027-01-04,122,10,7,3,0,0,0,0,0,0,0,10,3,7,3,7,,,,,10,3,4,5,far-30+: accum_fill@122d=0.08 below 0.15 floor; position_avg=4 only,0.0,unknown,0
2026-09-04,NDT572NC,NDT-Night,2027-01-04,122,3,0,3,0,0,0,0,0,0,0,3,2,1,3,1,,,,,4,1,2,3,far-30+: accum_fill@122d=0.10 below 0.15 floor; position_avg=2 only,0.0,unknown,0
2026-09-04,NDT573,NDT-Day,2027-02-08,157,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,,,,,1,6,8,10,far-30+: accum_fill@157d=0.08 below 0.15 floor; position_avg=8 only,0.0,unknown,0
2026-09-04,NDT574,NDT-Day,2027-03-15,192,2,0,2,0,0,0,0,0,0,0,2,1,1,2,0,,,,,2,3,5,7,far-30+: accum_fill@192d=0.08 below 0.15 floor; position_avg=5 only,0.0,unknown,0
2026-09-04,NDT574NC,NDT-Night,2027-03-15,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,2,3,4,far-30+: accum_fill@192d=0.10 below 0.15 floor; position_avg=3 only,0.0,unknown,0
2026-09-04,NDT575,NDT-Day,2027-04-19,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,4,6,8,far-30+: accum_fill@227d=0.08 below 0.15 floor; position_avg=6 only,0.0,unknown,0
2026-09-04,UDT569,UDT,2026-09-08,4,56,45,10,0,17,2,0,0,1,0,37,23,14,10,8,,,,,118,15,15,16,"near-<14: WBH(17)×0.88 floor, VIP(2)×0.27 + Priority(1)×0.56 upside",2.8237428571428573,above,2
2026-09-04,UDT570,UDT,2026-10-13,39,107,73,34,0,3,30,8,1,14,0,70,43,27,34,20,,,,,107,15,21,26,"far-30+: accum_fill@39d=0.55, proj_enrolled=193 x ate_mid=0.113 = 21.8 starts, blended_with_pos_avg=20.6 (prior_weight=0.67)",1.6922857142857133,above,34
2026-09-04,UDT571,UDT,2026-11-16,73,35,29,6,0,0,2,2,0,1,0,32,4,28,6,29,,,,,35,12,16,21,"far-30+: accum_fill@73d=0.23, proj_enrolled=151 x ate_mid=0.113 = 17.1 starts, blended_with_pos_avg=16.4 (prior_weight=0.67)",0.9659428571428568,above,3
2026-09-04,UDT572,UDT,2027-01-04,122,37,23,13,0,0,0,1,0,0,0,36,12,24,13,22,,,,,37,12,17,22,far-30+: accum_fill@122d=0.09 below 0.15 floor; position_avg=17 only,0.0,unknown,1
2026-09-04,UDT573,UDT,2027-02-08,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,5,7,9,far-30+: accum_fill@157d=0.09 below 0.15 floor; position_avg=7 only,0.0,unknown,0
2026-09-04,UDT574,UDT,2027-03-15,192,4,0,4,0,0,0,0,0,0,0,4,4,0,4,0,,,,,4,10,14,18,far-30+: accum_fill@192d=0.09 below 0.15 floor; position_avg=14 only,0.0,unknown,0
2026-09-04,UDT575,UDT,2027-04-19,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,7,10,13,far-30+: accum_fill@227d=0.09 below 0.15 floor; position_avg=10 only,0.0,unknown,0
