snapshot_date,cohort,program,start_date,days_to_start,currently_enrolled,new_enrolled,transfer_enrolled,reenroll_enrolled,wbh_count,vip_count,p_fa_count,p_va_count,p_acc_count,p_adm_count,untagged_count,cold_count,new_untagged_count,transferred_in_count,weekly_velocity,total_ever_enrolled,cancelled_total,cancelled_gone,cancelled_moved_later,high_water_enrolled,proj_low,proj_mid,proj_high,projection_basis,expected_weekly_velocity,velocity_vs_historical,vip_priority_count
2026-09-14,NDT570,NDT-Day,2026-10-13,29,102,84,18,0,2,14,6,0,0,0,84,63,21,18,9,,,,,102,1,7,13,"medium-14-30: blend(accum=9, tier_mid=5.6); WBH=2,VIP=14,Priority=6 | band +/-5.8 = 1.28 x rms_z 1.71 (15-30d, n=7 cohorts) x sqrt(mid)",0.0877999999999996,above,16
2026-09-14,NDT570NC,NDT-Night,2026-10-13,29,8,1,6,0,1,5,2,0,2,0,2,1,1,7,1,,,,,8,0,4,9,"medium-14-30: blend(accum=5, tier_mid=2.2); WBH=1,VIP=5,Priority=4 | band +/-4.4 = 1.28 x rms_z 1.71 (15-30d, n=7 cohorts) x sqrt(mid)",0.3713571428571436,above,5
2026-09-14,NDT571,NDT-Day,2026-11-16,63,47,37,10,0,0,4,3,0,0,0,43,3,40,10,1,,,,,47,2,9,16,"far-30+: accum_fill@63d=0.26, proj_enrolled=183 x ate_mid=0.066 = 12.2 starts, blended_with_pos_avg=9.4 (prior_weight=0.67) | band +/-6.3 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.2743999999999997,above,4
2026-09-14,NDT572,NDT-Day,2027-01-04,112,32,28,3,0,0,0,0,0,0,0,32,4,28,3,21,,,,,32,0,4,9,"far-30+: accum_fill@112d=0.08 below 0.15 floor; position_avg=4 only | band +/-4.2 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
2026-09-14,NDT572NC,NDT-Night,2027-01-04,112,3,0,3,0,0,0,0,0,0,0,3,3,0,3,0,,,,,4,0,2,5,"far-30+: accum_fill@112d=0.10 below 0.15 floor; position_avg=2 only | band +/-3.0 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
2026-09-14,NDT573,NDT-Day,2027-02-08,147,11,10,1,0,0,0,0,0,0,0,11,1,10,1,10,,,,,11,2,8,14,"far-30+: accum_fill@147d=0.08 below 0.15 floor; position_avg=8 only | band +/-5.9 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
2026-09-14,NDT574,NDT-Day,2027-03-15,182,6,0,2,0,0,0,0,0,0,0,6,2,4,2,4,,,,,6,0,5,10,"far-30+: accum_fill@182d=0.08 below 0.15 floor; position_avg=5 only | band +/-4.7 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
2026-09-14,NDT574NC,NDT-Night,2027-03-15,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,3,7,"far-30+: accum_fill@182d=0.10 below 0.15 floor; position_avg=3 only | band +/-3.6 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
2026-09-14,NDT575,NDT-Day,2027-04-19,217,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,,,,,1,0,6,12,"far-30+: accum_fill@217d=0.08 below 0.15 floor; position_avg=6 only | band +/-5.1 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
2026-09-14,NDT576,NDT-Day,2027-05-17,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,5,10,"far-30+: accum_fill@245d=0.08 below 0.15 floor; position_avg=5 only | band +/-4.7 = 1.28 x rms_z 1.63 (61+d, n=5 cohorts) x sqrt(mid)",0.0,unknown,0
